url,username,Date,Tweet,hashtag,mentions,likeCount,retweetCount,replyCount
https://twitter.com/Punnycatapult/status/1624196258222034945,Punnycatapult,2023-02-10 23:58:58+00:00,"Please donate, like share RAISE AWARENESS THAT IS KEY. Literally don’t care about follows or anything I just want my people to live.    ","['earthquaketurkey', 'TurkeySyriaEarthquake', 'TurkeyEarthquake']",none,5,3,1
https://twitter.com/HosenMosharraf1/status/1624196100407320576,HosenMosharraf1,2023-02-10 23:58:21+00:00,Alhamdulilllah they are safe and sound ❤️            ,"['earthquaketurkey', 'TurkeySyriaEarthquake', 'HelpTurkey', 'HelpSyria', 'TurkeyEarthquake', 'syriaearthquake']",none,122,9,0
https://twitter.com/gun_akar/status/1624196063258083336,gun_akar,2023-02-10 23:58:12+00:00,"PLEASE donate to AHBAP charity, the only charity that is helping all victims no matter of the political background, colour, gender, religious belief. Not discriminating and helping all victims.  Please can you retweet 🙏🏻 ",['TurkeyEarthquake'],"['', 'SarahHa88622902,', 'GeorgieAgass']",9,9,2
https://twitter.com/savash98/status/1624195776304893952,savash98,2023-02-10 23:57:03+00:00," Massive thanks to you and the entire  team for your continued amazing coverage of  Wonder if rescuers, etc shld wear masks to protect from cancer causing substances in air. ",['TurkeyEarthquake'],"['', 'IanPannell,', 'ABCWorldNews']",1,0,0
https://twitter.com/BaburRealer/status/1624195660680425480,BaburRealer,2023-02-10 23:56:36+00:00,Cat was saved after 116 hours ❤️,['TurkeyEarthquake'],none,3,0,0
https://twitter.com/june24news/status/1624195124929470465,june24news,2023-02-10 23:54:28+00:00,"📡Over 23,000 dead from quake in Turkey and Syria - CNN      ","['TurkeySyriaEarthquake', 'TurkeyEarthquake', 'baraj', 'Kurtarılmış', 'Fazıl', 'Erdoğan', 'Aleppo', 'Alaska']",none,1,0,0
https://twitter.com/has_sabit/status/1624194944721162242,has_sabit,2023-02-10 23:53:45+00:00,        Please help us help people who are suffering from the devastating earthquake which forced 13 million individuals out of their homes. Please read and share.,"['GoFundMe', 'depremzede', 'yardim', 'yardımkampanyası', 'TurkeyEarthquake', 'turkiye', 'TurkiyeDeprem']",none,8,3,4
https://twitter.com/jameslangelle/status/1624194789750247424,jameslangelle,2023-02-10 23:53:08+00:00," 02/11/23/0000GMT: Matt Bradley for NBC News reports from the USA command center in Adiyaman, Turkey consisting of two contingents: Fairfax, VA and L.A., CA units. ""Astonishing rescues"" reads the video from the  zone.","['TurkeyEarthquake', 'TurkeySyriaEarthquake']",none,2,1,0
https://twitter.com/earthology101/status/1624194636087455746,earthology101,2023-02-10 23:52:31+00:00,🚨 EARTHQUAKE ⚠️📈 3.6 M📍CENTRAL  📊 🟠    ,"['Turkey', 'TurkeySyriaEarthquake', 'TurkeyEarthquake', 'Turquia', 'زلزال_ترکیا_وسوريا']",none,1,1,0
https://twitter.com/shaqxii/status/1624194143835590656,shaqxii,2023-02-10 23:50:34+00:00,This video broke me man… 💔💔💔May Allah az zawajjal reunite him with his family in Jannat tul Firdaus  ,['TurkeyEarthquake'],none,7,1,2
https://twitter.com/DavidAugust/status/1624193561607512064,DavidAugust,2023-02-10 23:48:15+00:00,"The devastation in Turkey after the earthquakes is bad. You can help, share and donate if you can:    h/t ","['Turkey', 'TurkeyEarthquake']","['', 'gonca_vuslateri']",17,11,1
https://twitter.com/GreaterIran92/status/1624192869467664387,GreaterIran92,2023-02-10 23:45:30+00:00,"🇹🇷🤝🏻🇮🇷 They realized that the pockets of one of the jackets that was sent from Iran to the earthquake-stricken people of Turkey, were heavy. They opened the pockets and saw these...👇🏼  ","['TurkeySyriaEarthquake', 'TurkeyEarthquake']",none,54,15,4
https://twitter.com/AnurLewe/status/1624192865248370688,AnurLewe,2023-02-10 23:45:29+00:00,"  By Allah’s mercy, a time will soon come when Pakistan will stand independently, and Allah’s blessings will be innumerable for Muslims. This is a dream of Muhammad Qasim, who has also dreamt about the current issues Pakistan faces.","['TurkeyEarthquake', 'TikTok']","['', 'BenjaminNorton,', 'QasimKhanSuri']",8,7,0
https://twitter.com/jim_colella/status/1624192787380830210,jim_colella,2023-02-10 23:45:11+00:00,"""A big lesson from Japan is that a disaster of this size doesn’t ever really have a conclusion ... Despite speeches about rebuilding, the [2011] Tohoku quake has left a deep gash in the national consciousness and the landscapes of people’s lives""",['TurkeyEarthquake'],none,2,0,0
https://twitter.com/RaviSinghKA/status/1624192772264587269,RaviSinghKA,2023-02-10 23:45:07+00:00,"If any of you guys are wondering what I am eating for lunch &amp; dinner in  , it’s lentil soup &amp; bread. All volunteers eat together. Respect to all the aid workers around the globe ❤️❤️🙏🏻🙏🏻  ","['Turkey', 'OneLove', 'TurkeyEarthquake']",none,141,8,0
https://twitter.com/KeskinolDeniz/status/1624192395054120962,KeskinolDeniz,2023-02-10 23:43:37+00:00, Thank you from Turkey.. ,['TurkeyEarthquake'],"['', 'llcoolj']",1,0,1
https://twitter.com/Legendcalls1/status/1624191951862919168,Legendcalls1,2023-02-10 23:41:52+00:00,Pray for Turkey and Syria  ,"['TurkeyEarthquake', 'turkeyearthquake2023', 'Syria_earthquake']",none,6,0,1
https://twitter.com/MudasirrShahzad/status/1624191703002357760,MudasirrShahzad,2023-02-10 23:40:52+00:00,No fancy tweets for  and   ??  ,"['Syria', 'Turkiye', 'TurkeySyriaEarthquake', 'TurkeyEarthquake', 'syriaearthquake']","['', 'elonmusk']",4,1,0
https://twitter.com/die_zeitgeist/status/1624190925294514177,die_zeitgeist,2023-02-10 23:37:47+00:00,"Do moon properties such as distance, tidal force or phase effect the earthquakes in Turkey? Here is the scatterplot:    ","['TurkeySyriaEarthquake', 'TurkeyEarthquake', 'eartquake_stats']",none,1,0,0
https://twitter.com/FozailFarooquee/status/1624190895737442305,FozailFarooquee,2023-02-10 23:37:40+00:00," Before-After pics show how Turkey earthquake destroyed 2,200-year-old Roman-era castle. Before                             After ",['TurkeyEarthquake'],"['', 'umashankarsingh']",1,0,0
https://twitter.com/savash98/status/1624190580723965955,savash98,2023-02-10 23:36:25+00:00,"   Best network newsThank you for being on the scene in  and doing an amazing job. Whether or not you’re beating the competitors, don’t know/care.💯 🙏🙏🙏🙏❤️","['worldnewstonight', 'TurkeyEarthquake']","['', 'DavidMuir,', 'ABCWorldNews']",1,0,0
https://twitter.com/basil_tayseir/status/1624190556204150784,basil_tayseir,2023-02-10 23:36:19+00:00,Pray for  and  🇹🇷🇸🇾❤🤍🖤🤲🤲    ,"['Syria', 'Turkey', 'TurkeySyriaEarthquake', 'SyriaNeedsHelp', 'TurkeyEarthquake', 'SyriaEarthQuake', 'Turkiye']",none,2,0,1
https://twitter.com/MimarSinanMusic/status/1624190297428135937,MimarSinanMusic,2023-02-10 23:35:17+00:00,"Everyone knows what's up. Let's help these people, folks. Please donate if you can. The Turkish Philanthropy Funds are well known &amp; trustworthy. Donate what you can. 🙏🏼      Link: ","['Turkey', 'Türkiye', 'turkeyearthquake', 'earthquake', 'syria', 'syriaearthquake']",none,4,3,0
https://twitter.com/shlaroche/status/1624190153924263936,shlaroche,2023-02-10 23:34:43+00:00,12 saved lives! Bravo  !🇵🇱 👏🏻❤️  rescuers 👏🏻 ,"['Poland', 'Polish', 'Turkey_earthquake', 'TurkeyEarthquake']",none,7,0,0
https://twitter.com/cryptoaidTURKEY/status/1624190014551621632,cryptoaidTURKEY,2023-02-10 23:34:10+00:00,Help is needed. Kindly send tips to donate       ,"['TurkeySyriaEarthquake', 'TurkeyEarthquake', 'Turkiye', 'turkeyearthquake2023', 'DonateforTurkey', 'DonateforTurkiye_Syria']",none,1,0,0
https://twitter.com/iam_Yhuzzi/status/1624189966719848448,iam_Yhuzzi,2023-02-10 23:33:58+00:00,"Our prayers are with the 22,000  families of those who lost their loved ones at the  TurkeySyria Earthquake May their innocent souls rip 🙏🏼💔  ","['TurkeyEarthquake', 'TurkeySyriaEarthquake']",none,1,0,0
https://twitter.com/IkaFerrerGotic/status/1624189784523513860,IkaFerrerGotic,2023-02-10 23:33:15+00:00,"A newborn, trapped in rubble for 36 hours. Survived. These men and women are true heroes. You don't know their names, but you see the result of their selfless work. ------ Enkaz altında kalan çocuk 36 saat sonra kurtarıldı.   ","['Turkiye', 'TurkeyEarthquake', 'SyriaEarthquake']",none,299,43,13
https://twitter.com/mgogel/status/1624189447062290433,mgogel,2023-02-10 23:31:54+00:00,"UPDATE: Turkey-Syria earthquake death toll rises approaching 25,000.   around 85,000 injured  — reported. Horrific.   RIP This is good FF follow btw","['earthquake', 'turkeyearthquake', 'turkeysyria']",none,2,1,1
https://twitter.com/itsmelwithM/status/1624189445292322816,itsmelwithM,2023-02-10 23:31:54+00:00,Up to hour: 30.000 dead including babies toddlers pregnant women elderly children…whole families mum dad kids auntie granny…Day 7. Started! İts mınus 13 degrees! No water no food Nothing to find shelter to warm up! 150.000 still trapped   ,"['TurkeyEarthquake', 'HelpTurkey', 'Tuerkei']",none,1,0,0
https://twitter.com/LordCat1980/status/1624188737625153536,LordCat1980,2023-02-10 23:29:05+00:00,😇⚡📡Romanian Senator Talk AboutHigh Frequency Active Auroral Research Program.Part 3. ,"['HAARP', 'SolarFlare', 'GeomagmeticStorm', 'Turkey', 'Syria', 'SaveSyria', 'SyriaIsDying', 'TurkeyEarthquake', 'TurkeyQuake', 'TurkeySyriaEarthquake', 'IndonesiaKrisisKedaulatan', 'EarthQuake', 'Earth']",none,1,0,1
https://twitter.com/adamalrashid/status/1624188273991065601,adamalrashid,2023-02-10 23:27:15+00:00,guys from   in  supporting as usual. ,"['Sudan', 'Turkey', 'TurkeyEarthquake']",none,2,0,0
https://twitter.com/LordCat1980/status/1624187763812667394,LordCat1980,2023-02-10 23:25:13+00:00,😇⚡📡Romanian Senator Talk AboutHigh Frequency Active Auroral Research Program.Part 2. ,"['HAARP', 'SolarFlare', 'GeomagmeticStorm', 'Turkey', 'Syria', 'SaveSyria', 'SyriaIsDying', 'TurkeyEarthquake', 'TurkeyQuake', 'TurkeySyriaEarthquake', 'IndonesiaKrisisKedaulatan', 'EarthQuake', 'Earth']",none,3,0,1
https://twitter.com/a3o1k4i514/status/1624187055034224641,a3o1k4i514,2023-02-10 23:22:24+00:00,"In Turkey, more than 10,000 buildings collapsed in the devastating earthquake that struck on the 6th, and prosecutor's office has launched an investigation into the collapsed buildings. ",['TurkeyEarthquake'],none,2,0,0
https://twitter.com/shorishger/status/1624186678574284803,shorishger,2023-02-10 23:20:54+00:00,Turkish politician Muharrem Ince:- “116 hours have passed and there is no trace of the state!” Turkish state have ignored and abandoned the Kurds to death. There is no authority. A disaster of crisis management.  ,"['TurkeySyriaEarthquake', 'Turkeyearthquake']",none,1,0,0
https://twitter.com/LordCat1980/status/1624186639110090759,LordCat1980,2023-02-10 23:20:45+00:00,😇⚡📡Romanian Senator Talk AboutHigh Frequency Active Auroral Research Program.Part 1. ,"['HAARP', 'SolarFlare', 'GeomagmeticStorm', 'Turkey', 'Syria', 'SaveSyria', 'SyriaIsDying', 'TurkeyEarthquake', 'TurkeyQuake', 'TurkeySyriaEarthquake', 'IndonesiaKrisisKedaulatan', 'EarthQuake', 'Earth']",none,5,1,1
https://twitter.com/stromwv/status/1624183488529170433,stromwv,2023-02-10 23:08:14+00:00,"On behalf of myself, I would like to thank all the countries of the world who did not spare their help on such a day. Thank you to the teams who came and worked hard. They saved their mothers, fathers, siblings and babies. And again 6 days.  🇹🇷 ","['Binance', 'TurkeyEarthquake', 'ElonMusk']",none,2,0,1
https://twitter.com/celebrity_ikons/status/1624182711404437504,celebrity_ikons,2023-02-10 23:05:08+00:00,"South African rapper AKA shot in Florida Rd, Durban.RIP AKA     ","['celebrity_ikons', 'AKA', 'Turkeyearthquake', 'syriaearthquake', 'RIPAKA']",none,2,0,0
https://twitter.com/KatieLusso/status/1624181848191430659,KatieLusso,2023-02-10 23:01:43+00:00,TONIGHT AT 11PM - make sure you tune in to  - We're checking in with Vader and  in           ,"['Turkey', 'virginia', 'searchandrescue', 'vatf1', 'turkeyEarthquake']","['', 'wusa9,', 'VATF1,', 'USAIDSavesLives,', 'USAID_Digital,', 'USAIDSCharles,', 'PowerUSAID']",3,2,1
https://twitter.com/1MedyaNews/status/1624181420804407298,1MedyaNews,2023-02-10 23:00:01+00:00,"📌 decided not to take any military actions against  until the wounds of the  disaster heal,  Executive Council co-chair  announced on Thursday. |  |  ","['PKK', 'Turkey', 'earthquake', 'KCK', 'CemilBayık', 'KurdistanEarthquake', 'Syriaearthquake', 'TurkeyEarthquake']",none,24,2,0
https://twitter.com/EconomicTimes/status/1624178945682710530,EconomicTimes,2023-02-10 22:50:11+00:00,But the flurry of dramatic rescues - some broadcast live on Turkish television - could not obscure the overwhelming devastation of what Turkey's president called one of the greatest disasters in his nation's history. ,['TurkeyEarthquake'],none,4,1,0
https://twitter.com/One_NationUK/status/1624178641360850944,One_NationUK,2023-02-10 22:48:58+00:00, Update: Alhamdulillah the UK  team have reached Kilis to assess the situation &amp; assist victims. Survivors are choosing to sleep out in freezing tents instead of their homes due to fear of buildings collapsing again 💔Donate:  ,['TurkeyEarthquake'],"['', 'One_NationUK']",25,15,1
https://twitter.com/IslamicHelp/status/1624178564093341696,IslamicHelp,2023-02-10 22:48:40+00:00,"Brother Yahya Tanrikulu, from  describes the distressing scenes in Kharamanmaras, the city at the epicentre of  disaster. ",['Turkeyearthquake'],"['', 'islamichelptr1']",4,2,0
https://twitter.com/SalehSardar/status/1624178175864365057,SalehSardar,2023-02-10 22:47:07+00:00,"""Thoughts and prayers go out to all those affected by the devastating earthquake in Turkey and Syria. Let's stand together in solidarity and provide support to those in need.  ","['TurkeyEarthquake', 'SyriaEarthquake']",none,1,0,0
https://twitter.com/catzandcookiez/status/1624177874373844995,catzandcookiez,2023-02-10 22:45:55+00:00,So tragic!!!    ,"['Turkeyearthquake', 'syriaearthquake', 'turkey']",none,1,0,0
