url,username,Date,Tweet,hashtag,mentions,likeCount,retweetCount,replyCount
https://twitter.com/YounisFouzia/status/1623066868788662272,YounisFouzia,2023-02-07 21:11:11+00:00,The images from Türkiye &amp; Syria are devastating. The Adana region is one that I know well &amp; have friends there.  We all have a responsibility to act &amp; help. The 🇬🇧 is providing vital support with specialist teams to search for survivors.,['TurkeyEarthquake'],none,6,1,0
https://twitter.com/ZaffreenKosir/status/1623066848685092865,ZaffreenKosir,2023-02-07 21:11:06+00:00,"Saddened by what is happening in   &amp;   the horrific devastation!Türkiye &amp; Syria need our help-donate! I pray, Allah swt help &amp; protect those affected, grant Jannat al Firdaous to those lost &amp; Sabr to all families who have lost loved ones  ","['Turkey', 'Syria', 'TurkeyEarthquake']",none,4,1,0
https://twitter.com/BizveKanada/status/1623066816447672333,BizveKanada,2023-02-07 21:10:58+00:00,We would like to thank all foreign countries and organizations for their help and support after the earthquake disaster in  .               ,"['TurkeyEarthquake', 'Canada', 'Greece', 'Spain', 'Mexico', 'Russia', 'Germany', 'Nederland', 'England', 'Azerbaijan', 'Qatar', 'Italy', 'Ukraine', 'Japan', 'China', 'India', 'Austria']",none,5,1,1
https://twitter.com/todomomocrumbs/status/1623066784998780929,todomomocrumbs,2023-02-07 21:10:51+00:00,Some options to help internationally Turkiye    ,"['Turkey', 'TurkeyEarthquake', 'TurkeyQuake']",none,16,12,0
https://twitter.com/IpIndependent/status/1623066752417697793,IpIndependent,2023-02-07 21:10:43+00:00,Entire family rescued from collapsed building in North West Syria after 40 hours.     ,"['TurkeyEarthquake', 'syriaearthquake']",none,11,6,0
https://twitter.com/LaurentAlfonso/status/1623066644347252737,LaurentAlfonso,2023-02-07 21:10:17+00:00, 🇸🇮 sends staff and search dogs to  🇹🇷  via  ,"['Slovenia', 'TurkeyEarthquake']","['', 'sloveniatimes']",2,2,0
https://twitter.com/1MedyaNews/status/1623066570607202304,1MedyaNews,2023-02-07 21:10:00+00:00,"📌 Turkey’s vice president announced the updated death toll as 3,419, while 1,602 people have been reported death in Syria, as the critical 72-hour window for rescue efforts is closing quickly. ","['KurdistanEarthquake', 'TurkeyEarthquake']",none,1,0,0
https://twitter.com/Kiri2sim/status/1623066542823862291,Kiri2sim,2023-02-07 21:09:53+00:00,Hope emerges from rubble 😌 ,['TurkeyEarthquake'],none,4,0,0
https://twitter.com/PerlitaMMx/status/1623066516991143946,PerlitaMMx,2023-02-07 21:09:47+00:00,From Mexico 🇲🇽 with  and        ♥️ ,"['Hope', 'Love', 'TurkeyEarthquake', 'Turkey', 'Siria', 'earthquake', 'CruzRojaMexicana']",none,1,0,0
https://twitter.com/LukeARenner/status/1623066499668746240,LukeARenner,2023-02-07 21:09:43+00:00,It seems certain the death toll will continue climbing in the coming days. Frigid temps mean many of the fallen buildings were occupied when they fell. Those who are trapped now face a race against time before exposure or dehydration set in.  ,"['TurkeyEarthquake', 'TurkeyQuake']",none,1,0,0
https://twitter.com/LuciaGrosaru/status/1623066478311518208,LuciaGrosaru,2023-02-07 21:09:38+00:00,"Greece and Turkey saw some really tensed moments in recent years. Yet, when the earthquakes hit Turkey, Greece sent rescue teams immediately and they've already had good results.That's the humanity in us that must prevail.  ","['TurkeyEarthquake', 'Humanity', 'Hope']",none,1,0,0
https://twitter.com/Raizakolia/status/1623066309935132675,Raizakolia,2023-02-07 21:08:58+00:00,"Sending love, support, prayers and strength to the rescuers. Thank you for your     ","['humanity', 'TurkeyEarthquake', 'TurkeyQuake', 'Turkey', 'earthquake']",none,2,0,0
https://twitter.com/IsraelinChicago/status/1623066283737509889,IsraelinChicago,2023-02-07 21:08:51+00:00," offers a helping hand to those affected in earthquake-ravaged Turkey. Offering medical aid &amp; essential supplies,  stands united with the Turkish people. 🇹🇷🇮🇱🙏🏼       ","['Israel', 'earthquaketurkey', 'Turkey', 'Turkiye', 'TurkeyQuake', 'TurkeyEarthquake', 'turkeyearthquake2023']","['', 'Israel,', 'IsraelMFA']",16,6,1
https://twitter.com/erkcansolmaz/status/1623066272559689731,erkcansolmaz,2023-02-07 21:08:49+00:00, There are still thousands of people under the buildings for the last 48 hours waiting someone to get them out. The situation is a lot worse than it seems. ,['TurkeyEarthquake'],"['', 'NATO']",3,0,0
https://twitter.com/gursesmuratt/status/1623066227475369984,gursesmuratt,2023-02-07 21:08:38+00:00,Time to show some solidarity with the people of Turkey  .       Donate now to the  ,"['TurkeyEarthquake', 'Elbistandeprem', 'malatyadeprem', 'adanadepremi', 'Diyarbakırdeprem']","['', 'BritishRedCross']",1,0,0
https://twitter.com/leentamimi2/status/1623066175872593920,leentamimi2,2023-02-07 21:08:26+00:00,"Shame on the world , shame on all of us   ","['syriaearthquake', 'TurkeyEarthquake', 'Syrie']",none,1,0,0
https://twitter.com/BJezzy13/status/1623066084025962496,BJezzy13,2023-02-07 21:08:04+00:00, caught snooping in the boys locker room‼️ ,"['littleboys', 'TurkeyEarthquake']","['', 'bigharrycox129']",1,0,1
